   x    f(x)
0.0000    -0.0000
0.0317    -0.0000
0.0635    -0.0000
0.0952    -0.0000
0.1269    -0.0000
0.1587    -0.0000
0.1904    -0.0000
0.2221    -0.0000
0.2539    -0.0000
0.2856    -0.0000
0.3173    -0.0000
0.3491    -0.0000
0.3808    -0.0000
0.4125    -0.0000
0.4443    -0.0000
0.4760    -0.0000
0.5077    -0.0000
0.5395    -0.0000
0.5712    -0.0000
0.6029    -0.0000
0.6347    -0.0000
0.6664    -0.0000
0.6981    -0.0000
0.7299    -0.0000
0.7616    -0.0000
0.7933    -0.0000
0.8251    -0.0000
0.8568    -0.0000
0.8885    -0.0000
0.9203    -0.0000
0.9520    -0.0000
0.9837    -0.0000
1.0155    -0.0000
1.0472    -0.0000
1.0789    -0.0000
1.1107    -0.0000
1.1424    -0.0000
1.1741    -0.0000
1.2059    -0.0000
1.2376    -0.0000
1.2693    -0.0000
1.3011    -0.0000
1.3328    -0.0000
1.3645    -0.0000
1.3963    -0.0000
1.4280    -0.0000
1.4597    -0.0001
1.4915    -0.0002
1.5232    -0.0004
1.5549    -0.0007
1.5867    -0.0013
1.6184    -0.0025
1.6501    -0.0044
1.6819    -0.0076
1.7136    -0.0127
1.7453    -0.0208
1.7771    -0.0331
1.8088    -0.0512
1.8405    -0.0767
1.8723    -0.1117
1.9040    -0.1577
1.9357    -0.2159
1.9675    -0.2864
1.9992    -0.3680
2.0309    -0.4573
2.0627    -0.5495
2.0944    -0.6376
2.1261    -0.7137
2.1579    -0.7696
2.1896    -0.7984
2.2213    -0.7958
2.2531    -0.7606
2.2848    -0.6958
2.3165    -0.6079
2.3483    -0.5061
2.3800    -0.4004
2.4117    -0.3002
2.4435    -0.2124
2.4752    -0.1414
2.5069    -0.0881
2.5387    -0.0512
2.5704    -0.0275
2.6021    -0.0136
2.6339    -0.0061
2.6656    -0.0025
2.6973    -0.0009
2.7291    -0.0003
2.7608    -0.0001
2.7925    -0.0000
2.8243    -0.0000
2.8560    -0.0000
2.8877    -0.0000
2.9195    -0.0000
2.9512    -0.0000
2.9829    -0.0000
3.0147    -0.0000
3.0464    -0.0000
3.0781    -0.0000
3.1099    -0.0000
3.1416    -0.0000
